site,logp1_parrotfish_biomass_kg,logp1_large_parrotfish_biomass_kg,logp1_midnightPF_biomass_kg,logp1_bluePF_biomass_kg,logp1_rainbowPF_biomass_kg,logp1_stoplightPF_biomass_kg,midnightPA,bluePA,rainbowPA,stoplightPA,Year,Month,Latitude,Longitude,Depth,Coral_cover,Reef_complexity,SST,NPP,Wave_exposure,HABITAT_CD,Coral_area_UFRTM_20km,Coral_area_UFRTM_200km,Deepwater,slips45_10km,Marine_reserve,population_20km,population_50km,rec_fishermen_50km,Artificial_reefs_1km,Gravity_total,nursery_seagrass,nursery_mangroves,connectivity,RecEng,pf_preds_biomass_kg,pf_no_midnight_biomass_kg,pf_no_blue_biomass_kg,pf_no_rainbow_biomass_kg,pf_no_stoplight_biomass_kg,turf_cover,macroalgae_cover,random
1971444_3148U,3.631095604,0,0,0,0,0,0,0,0,0,2014,June,25.835,-80.09225,15.1,1.5,0.25,24.2404419,388.4195862,7.384078026,LIRM,84783,944380,600,1014,Open,1191810,4132623,132493,0,17036,43665.60938,48049.125,21.63829787,-0.26,0,36.75415759,36.75415759,36.75415759,36.75415759,27,9,7131
1973086_1083U,0.189772935,0,0,0,0,0,0,0,0,0,2014,July,25.40370494,-80.1333801,3.65008489,0.5,0.187521222,24.3807617,368.8521118,7.300384998,RUBB_LR,38533,1104337,982.8427124,0,Open,1438,1754333,71678,0,215,56025720,219966.125,19.33933518,-0.26,39.93461601,0.208975051,0.208975051,0.208975051,0.208975051,NA,NA,281
1973919_1085U,5.53823074,5.331482872,2.830023614,4.95259657,3.91435189,0.130914643,1,1,1,1,2014,July,25.40721,-80.13089,4.9,1.5,0.8,24.3718201,373.6773682,7.297831059,RUBB_LR,38401,1103477,782.8427124,0,Open,1392,1817173,70963,0,215,54202000,142037.0781,19.33933518,-0.26,0,237.2819453,112.6857953,204.1112263,253.0879358,NA,NA,6880
1974878_1091U,4.525920087,3.254654284,0,2.499089803,0,2.690513647,0,1,0,1,2014,August,25.41225074,-80.12536577,12.89877301,0.748466258,0.898773006,24.3644653,378.3446655,7.296739101,SPGR_LR,38335,1102234,400,0,Open,1335,1795237,72635,2,215,51334552,78753.39063,19.33933518,-0.26,7.233923483,91.38088518,80.20947465,91.38088518,77.64164044,NA,NA,8169
1975778_1078U,5.756396889,5.630175818,0,2.57980898,4.647868994,5.094695439,0,1,1,1,2014,August,25.41627,-80.127465,4.4,2,0.7125,24.3202148,384.1395264,7.295522213,CONT_MR,38400,1102161,741.4213867,0,Open,948,1847839,72635,2,215,53261840,77922.30469,19.33933518,-0.26,30.41514811,315.2069452,303.0123277,211.8445936,153.0527985,NA,NA,3755
1975958_1079U,5.524112659,5.352406264,0,0,0,5.352406264,0,0,0,1,2014,August,25.41719526,-80.12739719,4.541234222,1.793828892,0.453506311,24.3133789,385.1188965,7.29519558,CONT_LR,38361,1102078,782.8427124,0,Open,948,1847839,72635,2,215,53568376,76660.32031,37.2016129,-0.26,0,249.6638151,249.6638151,249.6638151,39.54812796,NA,NA,2876
1979630_1087U,5.972285503,5.357369579,0,3.60067209,0,5.17356609,0,1,0,1,2014,August,25.43632601,-80.11719131,14.33279412,3.316911765,1.175955882,24.1970764,406.2027588,7.356761456,SPGR_LR,36483,1098653,300,0,Open,106,1934562,76436,0,215,49785500,20334.73047,37.2016129,-0.26,95.04498817,391.4014816,355.7786416,391.4014816,215.8581961,NA,NA,1946
1980634_1080U,5.480789965,5.23443369,0,0,4.641341546,4.441938924,0,0,1,1,2014,August,25.44207757,-80.12129829,3.486289121,1.7414307,0.81728763,24.1484009,413.4177246,7.421974182,CONT_LR,36285,1098735,782.8427124,0,Open,199,2014694,77912,0,215,53697388,24125.78906,37.2016129,-0.26,0,239.0362528,239.0362528,136.3529024,155.0967795,NA,NA,1262
1983531_1047U,0.97855463,0,0,0,0,0,0,0,0,0,2014,August,25.4582855,-80.12594445,9.245565217,0.497391304,0.1,24.1504761,432.0081177,7.406466007,RUBB_LR,35447,1098155,1500,0,Open,21,2131366,80225,0,314,62219872,42870.84766,37.2016129,-0.26,1.20665696,1.660607899,1.660607899,1.660607899,1.660607899,NA,NA,8495
1984162_1043U,5.42664772,4.801471903,0,4.198624077,0,4.027042436,0,1,0,1,2014,August,25.46153349,-80.11937738,8.606038292,2.265095729,0.921134021,24.1826111,435.09552,7.398689747,CONT_MR,34502,1096147,1024.264038,0,Open,0,2169891,81025,0,314,57643040,34912.04688,37.2016129,-0.26,4.483232148,226.3857058,160.7910669,226.3857058,171.2909439,NA,NA,1051
1985085_1017U,4.087357102,3.468416323,0,0.119003374,0,3.464469939,0,1,0,1,2014,August,25.4674,-80.1417,4.38585209,2.294212219,0.698231511,24.0743958,440.7848816,7.372023106,ISOL_MR,35478,1099789,3472.792236,0,Open,170,2223775,84382,0,314,78942456,88350.96875,37.2016129,-0.26,0,58.58221369,58.45583997,58.58221369,27.6226989,NA,NA,894
